Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8,2004.0,11.0,20.0,0.05,0.0,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,5.0,39.0,0.22,0.17,0.0,0.06,0.44,78.0,27.0,7.4,41.0,783.0,2
11,2004.0,10.0,45.0,0.05,0.01,0.0,0.0,0.06,66.0,38.0,8.6,5.0,411.0,1
1,2010.0,10.0,116.0,0.07,0.06,0.0,0.02,0.15,-1.0,-1.0,-1.0,-1.0,60.0,1
2,2011.0,3.0,29.0,0.25,0.06,0.05,0.03,0.39,44.0,18.0,5.3,9.0,79.0,3
12,2014.0,11.0,53.0,0.02,0.09,0.0,0.01,0.12,75.0,51.0,7.0,351.0,340.0,1
2,2013.0,2.0,3.0,0.0,0.0,0.29,0.0,0.29,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,5.0,58.0,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
10,2008.0,5.0,44.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
3,2011.0,11.0,8.0,0.26,0.0,0.0,0.02,0.28,-1.0,-1.0,-1.0,-1.0,784.0,0
14,1998.0,8.0,265.0,0.04,0.03,0.0,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
10,2007.0,2.0,101.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
15,2012.0,2.0,29.0,0.01,0.01,0.0,0.0,0.03,52.0,26.0,5.2,29.0,25.0,3
4,2009.0,4.0,1.0,0.3,0.16,0.0,0.07,0.54,70.0,43.0,6.5,19.0,165.0,1
2,2014.0,12.0,15.0,0.48,0.53,0.28,0.09,1.38,64.0,71.0,6.1,155.0,785.0,0
3,2006.0,8.0,247.0,0.0,0.0,0.04,0.0,0.04,-1.0,-1.0,-1.0,-1.0,,-1
2,2013.0,9.0,15.0,0.0,0.08,0.0,0.0,0.09,-1.0,-1.0,-1.0,-1.0,,-1
8,2006.0,12.0,9.0,0.14,0.04,0.16,0.03,0.38,83.0,67.0,8.7,89.0,190.0,0
11,2005.0,12.0,8.0,0.21,0.06,0.0,0.01,0.28,71.0,28.0,-1.0,-1.0,5.0,3
4,2009.0,8.0,9.0,0.0,0.0,0.03,0.0,0.03,77.0,33.0,6.9,30.0,190.0,3
7,2016.0,8.0,2.0,0.01,0.0,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,184.0,2
3,2009.0,11.0,103.0,0.13,0.01,0.0,0.01,0.15,-1.0,-1.0,-1.0,-1.0,187.0,0
1,2008.0,1.0,177.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
12,2014.0,8.0,56.0,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8.0,1671.0,384.0,2
10,-1.0,4.0,,0.1,0.08,0.0,0.03,0.21,56.0,15.0,8.5,18.0,786.0,1
16,2002.0,4.0,7.0,0.31,0.08,0.0,0.01,0.41,81.0,20.0,8.7,43.0,53.0,2
3,2009.0,6.0,285.0,0.29,0.0,0.0,0.02,0.31,-1.0,-1.0,-1.0,-1.0,,-1
4,2013.0,11.0,27.0,0.0,0.0,0.12,0.0,0.12,66.0,18.0,7.4,28.0,81.0,1
13,2015.0,5.0,58.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
5,2009.0,8.0,8.0,0.09,0.02,0.0,0.01,0.12,68.0,28.0,7.5,6.0,157.0,3
21,1981.0,6.0,191.0,0.55,0.03,0.0,0.01,0.59,-1.0,-1.0,-1.0,-1.0,,-1
8,2007.0,12.0,9.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
5,2009.0,1.0,31.0,0.18,0.01,0.0,0.01,0.21,68.0,34.0,8.6,19.0,787.0,1
10,2010.0,10.0,9.0,0.03,0.02,0.0,0.01,0.06,-1.0,-1.0,7.9,9.0,469.0,1
4,2011.0,10.0,12.0,0.06,0.04,0.08,0.02,0.2,63.0,28.0,7.0,24.0,530.0,1
8,2006.0,8.0,21.0,0.08,0.0,0.0,0.01,0.1,74.0,34.0,6.8,6.0,74.0,1
4,2014.0,10.0,25.0,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,774.0,2
12,2008.0,7.0,45.0,0.0,0.02,0.0,0.0,0.03,83.0,19.0,8.2,63.0,99.0,0
16,2004.0,9.0,44.0,0.19,0.05,0.0,0.01,0.24,70.0,12.0,9.2,60.0,163.0,0
3,2007.0,4.0,3.0,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1.0,-1.0,,-1
9,2002.0,6.0,14.0,0.0,0.0,0.06,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,8.0,9.0,0.19,0.13,0.0,0.02,0.34,-1.0,-1.0,-1.0,-1.0,,-1
14,1999.0,1.0,5.0,0.53,0.36,0.0,0.06,0.95,-1.0,-1.0,-1.0,-1.0,,-1
16,2004.0,9.0,15.0,1.48,0.25,0.46,0.06,2.25,87.0,55.0,9.4,306.0,113.0,0
7,2014.0,2.0,29.0,0.0,0.01,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
2,2014.0,1.0,5.0,0.09,0.34,0.0,0.03,0.45,-1.0,-1.0,2.4,35.0,41.0,0
1,2007.0,11.0,29.0,0.4,0.01,0.0,0.03,0.44,-1.0,-1.0,5.8,6.0,79.0,0
8,2006.0,10.0,40.0,0.1,0.0,0.0,0.01,0.12,74.0,45.0,7.3,9.0,505.0,0
10,2001.0,9.0,29.0,0.05,0.04,0.0,0.01,0.1,76.0,16.0,7.8,22.0,298.0,1
12,2010.0,2.0,3.0,0.0,0.02,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
10,2004.0,1.0,7.0,0.14,0.11,0.0,0.04,0.3,77.0,30.0,9.5,4.0,224.0,1
4,2010.0,7.0,9.0,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0,788.0,0
22,2016.0,10.0,320.0,0.03,0.05,0.0,0.02,0.1,73.0,26.0,6.3,37.0,789.0,1
4,2012.0,10.0,8.0,0.11,0.16,0.0,0.07,0.34,-1.0,-1.0,-1.0,-1.0,,-1
8,2006.0,10.0,2.0,0.04,0.0,0.02,0.0,0.06,76.0,44.0,8.5,4.0,790.0,0
1,2007.0,8.0,3.0,0.16,0.01,0.0,0.01,0.18,52.0,35.0,5.7,24.0,138.0,1
11,2006.0,1.0,5.0,0.11,0.03,0.0,0.01,0.15,65.0,17.0,8.5,10.0,3.0,3
3,2010.0,9.0,14.0,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,791.0,0
3,2008.0,2.0,29.0,0.1,0.0,0.0,0.01,0.11,-1.0,-1.0,-1.0,-1.0,,-1
21,1988.0,8.0,8.0,0.22,0.01,0.0,0.0,0.24,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,3.0,220.0,0.0,0.0,0.09,0.01,0.09,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,7.0,45.0,0.04,0.03,0.0,0.01,0.08,76.0,9.0,9.2,9.0,468.0,0
14,2000.0,1.0,32.0,0.91,0.11,0.0,0.03,1.05,82.0,14.0,8.4,5.0,167.0,0
12,2001.0,3.0,11.0,0.0,0.03,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,8.0,177.0,0.0,0.0,0.04,0.0,0.04,-1.0,-1.0,-1.0,-1.0,,-1
3,2010.0,2.0,285.0,0.04,0.0,0.0,0.0,0.04,-1.0,-1.0,-1.0,-1.0,,-1
5,2011.0,1.0,5.0,0.4,0.16,0.0,0.05,0.62,80.0,50.0,6.1,25.0,147.0,0
10,2005.0,8.0,21.0,0.04,0.03,0.09,0.01,0.17,48.0,33.0,8.1,12.0,720.0,2
3,2009.0,8.0,29.0,0.18,0.18,0.0,0.04,0.4,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,11.0,29.0,0.35,0.0,0.0,0.03,0.38,-1.0,-1.0,-1.0,-1.0,79.0,0
17,1987.0,5.0,15.0,2.19,0.5,1.61,0.08,4.38,-1.0,-1.0,-1.0,-1.0,,-1
12,2001.0,11.0,11.0,0.0,0.04,0.0,0.01,0.05,84.0,16.0,8.4,21.0,248.0,0
20,2000.0,9.0,168.0,0.0,0.0,0.27,0.0,0.27,-1.0,-1.0,-1.0,-1.0,,-1
1,2009.0,1.0,5.0,0.23,0.64,0.0,0.11,0.98,75.0,21.0,6.2,17.0,41.0,0
10,2007.0,4.0,321.0,0.06,0.05,0.04,0.02,0.16,77.0,12.0,8.1,8.0,792.0,1
1,2007.0,7.0,108.0,0.21,0.0,0.0,0.02,0.23,-1.0,-1.0,-1.0,-1.0,,-1
3,2006.0,2.0,19.0,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
10,2003.0,2.0,18.0,0.27,0.21,0.0,0.07,0.55,41.0,14.0,4.8,12.0,793.0,0
2,2012.0,8.0,89.0,0.0,0.0,0.06,0.0,0.06,-1.0,-1.0,-1.0,-1.0,128.0,-1
8,2010.0,5.0,208.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
4,2011.0,5.0,25.0,1.27,1.29,0.12,0.49,3.17,89.0,78.0,7.7,1010.0,794.0,2
10,2002.0,8.0,26.0,0.03,0.02,0.0,0.01,0.06,67.0,7.0,8.6,14.0,128.0,1
1,2008.0,2.0,29.0,0.1,0.29,0.0,0.05,0.44,-1.0,-1.0,-1.0,-1.0,248.0,0
10,2006.0,5.0,9.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
8,2005.0,6.0,9.0,0.11,0.0,0.0,0.01,0.12,-1.0,-1.0,-1.0,-1.0,,-1
2,2015.0,1.0,3.0,0.0,0.0,0.14,0.0,0.14,-1.0,-1.0,-1.0,-1.0,,-1
5,2010.0,1.0,45.0,0.11,0.0,0.0,0.01,0.12,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,2.0,181.0,0.06,0.02,0.0,0.0,0.08,-1.0,-1.0,-1.0,-1.0,122.0,0
14,1999.0,1.0,9.0,0.52,0.35,0.0,0.06,0.94,-1.0,-1.0,-1.0,-1.0,,-1
12,2011.0,9.0,14.0,0.02,0.0,0.0,0.0,0.02,81.0,26.0,7.3,399.0,795.0,3
4,2010.0,10.0,8.0,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,796.0,1
1,2009.0,1.0,243.0,0.1,0.0,0.0,0.01,0.11,-1.0,-1.0,-1.0,-1.0,399.0,0
10,2003.0,8.0,29.0,0.08,0.06,0.0,0.02,0.16,81.0,40.0,9.2,100.0,250.0,2
8,2008.0,4.0,3.0,0.0,0.0,0.26,0.0,0.26,-1.0,-1.0,-1.0,-1.0,,-1
8,2005.0,7.0,18.0,0.0,0.25,0.0,0.0,0.25,-1.0,-1.0,-1.0,-1.0,,-1
10,2009.0,1.0,33.0,0.08,0.06,0.0,0.02,0.17,-1.0,-1.0,5.4,5.0,349.0,0
2,2015.0,8.0,72.0,0.0,0.0,0.07,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
5,2009.0,8.0,8.0,0.12,0.03,0.0,0.01,0.17,63.0,31.0,6.6,7.0,508.0,3
7,2016.0,8.0,322.0,0.01,0.0,0.0,0.0,0.01,74.0,13.0,6.7,7.0,797.0,-1
3,2008.0,11.0,243.0,0.18,0.0,0.0,0.01,0.19,-1.0,-1.0,-1.0,-1.0,122.0,3
9,2003.0,2.0,1.0,0.03,0.01,0.0,0.0,0.04,70.0,12.0,-1.0,-1.0,798.0,0
15,2012.0,8.0,56.0,0.09,0.03,0.0,0.01,0.13,24.0,8.0,3.5,21.0,799.0,0
16,2002.0,5.0,279.0,0.01,0.0,0.0,0.0,0.01,61.0,12.0,6.4,7.0,800.0,1
13,2016.0,9.0,16.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
13,2015.0,5.0,323.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
6,1993.0,12.0,15.0,5.99,2.15,2.12,0.29,10.55,-1.0,-1.0,-1.0,-1.0,,-1
4,2010.0,10.0,65.0,0.17,0.27,0.05,0.1,0.59,-1.0,-1.0,-1.0,-1.0,,-1
10,2008.0,1.0,2.0,0.0,0.0,0.22,0.0,0.22,-1.0,-1.0,-1.0,-1.0,,-1
5,2009.0,7.0,1.0,0.52,0.14,0.0,0.06,0.72,75.0,47.0,6.6,30.0,37.0,0
9,2003.0,4.0,29.0,0.05,0.02,0.0,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
4,2008.0,8.0,19.0,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,208.0,1
14,2003.0,1.0,324.0,0.23,0.16,0.0,0.03,0.42,-1.0,-1.0,-1.0,-1.0,,-1
12,2009.0,1.0,22.0,0.0,0.01,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
22,2016.0,9.0,65.0,0.0,0.0,0.06,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
4,2008.0,7.0,5.0,0.22,0.01,0.0,0.02,0.25,65.0,22.0,7.5,10.0,89.0,0
12,-1.0,7.0,18.0,0.0,0.03,0.0,0.01,0.04,87.0,25.0,7.9,463.0,140.0,0
3,2007.0,2.0,96.0,0.0,0.0,0.07,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
11,2001.0,10.0,2.0,0.14,0.04,0.0,0.01,0.18,61.0,21.0,7.1,7.0,590.0,0
2,2011.0,8.0,19.0,0.05,0.02,0.0,0.01,0.08,51.0,9.0,5.0,6.0,191.0,1
11,2005.0,10.0,182.0,0.02,0.0,0.0,0.0,0.02,33.0,9.0,2.8,4.0,801.0,2
12,2006.0,9.0,8.0,0.01,0.0,0.0,0.0,0.01,82.0,22.0,8.0,52.0,396.0,1
13,2015.0,9.0,3.0,0.0,0.03,0.37,0.01,0.41,-1.0,-1.0,8.1,16.0,663.0,1
11,2001.0,7.0,1.0,0.1,0.03,0.0,0.0,0.13,74.0,15.0,-1.0,-1.0,644.0,0
8,2010.0,3.0,9.0,0.05,0.16,0.0,0.08,0.29,-1.0,-1.0,9.0,4.0,252.0,3
14,1999.0,1.0,26.0,0.0,0.0,0.14,0.01,0.15,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,2.0,8.0,0.2,0.19,0.0,0.04,0.43,65.0,18.0,7.0,4.0,26.0,3
14,1999.0,11.0,27.0,0.07,0.05,0.13,0.02,0.26,-1.0,-1.0,-1.0,-1.0,,-1
10,2006.0,7.0,5.0,0.06,0.04,0.0,0.01,0.11,68.0,26.0,8.9,16.0,3.0,0
14,1998.0,4.0,77.0,0.03,0.02,0.07,0.01,0.14,-1.0,-1.0,-1.0,-1.0,,-1
16,-1.0,8.0,14.0,0.22,0.06,0.0,0.01,0.29,-1.0,-1.0,7.0,4.0,494.0,0
2,2011.0,10.0,15.0,0.48,0.27,0.13,0.06,0.94,81.0,65.0,8.2,231.0,11.0,3
1,2009.0,11.0,5.0,0.17,0.02,0.0,0.02,0.21,56.0,16.0,-1.0,-1.0,89.0,0
10,2007.0,1.0,5.0,0.65,0.03,0.0,0.11,0.79,83.0,6.0,8.3,23.0,3.0,0
3,2010.0,8.0,5.0,0.2,0.08,0.0,0.02,0.31,-1.0,-1.0,-1.0,-1.0,,-1
5,2014.0,8.0,56.0,0.28,0.16,0.0,0.04,0.49,-1.0,-1.0,4.6,77.0,288.0,2
19,2000.0,4.0,252.0,0.0,0.0,0.07,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
8,2010.0,9.0,33.0,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
11,2006.0,8.0,21.0,0.01,0.0,0.0,0.0,0.02,42.0,29.0,4.0,4.0,208.0,2
3,2007.0,9.0,19.0,0.0,0.0,0.07,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
5,2010.0,8.0,189.0,0.07,0.02,0.06,0.01,0.16,59.0,38.0,7.3,23.0,128.0,2
9,2004.0,10.0,39.0,0.02,0.01,0.0,0.0,0.02,47.0,11.0,-1.0,-1.0,741.0,0
8,2007.0,8.0,22.0,0.21,0.22,0.0,0.13,0.57,78.0,32.0,8.2,28.0,14.0,1
8,2006.0,6.0,12.0,0.04,0.0,0.0,0.0,0.05,74.0,19.0,7.8,6.0,144.0,0
9,2001.0,1.0,32.0,0.14,0.05,0.0,0.0,0.19,85.0,7.0,-1.0,-1.0,690.0,0
9,2003.0,8.0,1.0,1.59,1.05,0.04,0.14,2.82,-1.0,-1.0,7.0,8.0,26.0,0
11,2005.0,8.0,22.0,0.83,0.28,0.0,0.05,1.16,-1.0,-1.0,-1.0,-1.0,,-1
9,2004.0,2.0,,0.31,0.11,0.0,0.01,0.43,-1.0,-1.0,-1.0,-1.0,,-1
5,2006.0,4.0,52.0,0.06,0.01,0.0,0.01,0.07,38.0,18.0,4.1,14.0,298.0,2
4,2009.0,2.0,9.0,0.0,0.15,0.0,0.01,0.17,-1.0,-1.0,-1.0,-1.0,,-1
2,2013.0,8.0,3.0,0.0,0.0,0.35,0.0,0.35,-1.0,-1.0,-1.0,-1.0,,-1
3,2007.0,6.0,15.0,0.48,1.12,0.0,0.08,1.69,63.0,11.0,-1.0,-1.0,609.0,0
12,2003.0,10.0,8.0,0.0,0.03,0.0,0.0,0.03,81.0,34.0,8.6,293.0,396.0,1
10,2006.0,5.0,199.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
14,2000.0,1.0,8.0,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,378.0,1
10,2002.0,2.0,325.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
10,2001.0,1.0,26.0,0.0,0.0,0.13,0.0,0.13,-1.0,-1.0,-1.0,-1.0,,-1
10,2000.0,7.0,5.0,0.06,0.05,0.03,0.02,0.16,71.0,11.0,-1.0,-1.0,41.0,0
3,2007.0,2.0,20.0,0.24,0.0,0.0,0.02,0.25,-1.0,-1.0,-1.0,-1.0,459.0,0
12,2004.0,10.0,39.0,2.28,0.02,0.08,0.0,2.37,96.0,81.0,9.1,8665.0,423.0,2
12,2015.0,3.0,53.0,0.0,0.05,0.0,0.0,0.05,63.0,11.0,5.4,52.0,76.0,1
3,2011.0,8.0,19.0,0.08,0.03,0.0,0.01,0.12,64.0,18.0,7.2,9.0,2.0,3
12,2007.0,10.0,8.0,0.01,0.0,0.0,0.0,0.02,84.0,55.0,8.3,231.0,802.0,1
5,2009.0,2.0,11.0,0.0,0.04,0.0,0.01,0.05,-1.0,-1.0,-1.0,-1.0,,-1
11,2002.0,7.0,57.0,0.01,0.0,0.0,0.0,0.02,35.0,4.0,8.7,10.0,632.0,0
11,2004.0,8.0,45.0,0.06,0.02,0.0,0.0,0.09,72.0,17.0,6.5,6.0,803.0,1
23,1997.0,5.0,326.0,0.0,0.0,0.07,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
23,1997.0,5.0,104.0,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1.0,-1.0,,-1
11,-1.0,8.0,22.0,0.76,0.38,0.0,0.05,1.19,84.0,23.0,8.0,19.0,42.0,2
8,2011.0,1.0,5.0,0.12,0.25,0.02,0.13,0.52,-1.0,-1.0,-1.0,-1.0,,-1
8,2010.0,3.0,202.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
19,2000.0,1.0,19.0,1.02,0.05,0.0,0.02,1.09,97.0,22.0,6.0,47.0,17.0,0
8,2010.0,8.0,9.0,0.08,0.02,0.0,0.02,0.12,74.0,33.0,8.7,25.0,148.0,1
4,2011.0,4.0,56.0,1.98,0.53,0.0,0.34,2.84,84.0,60.0,8.4,494.0,736.0,2
8,2010.0,2.0,327.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
5,2008.0,7.0,118.0,0.06,0.14,0.0,0.01,0.21,63.0,17.0,8.0,6.0,215.0,3
10,2005.0,10.0,5.0,0.12,0.09,0.0,0.03,0.24,84.0,39.0,9.1,117.0,605.0,2
4,2011.0,7.0,225.0,0.05,0.0,0.0,0.01,0.06,53.0,5.0,-1.0,-1.0,804.0,3
4,2010.0,1.0,2.0,0.0,0.0,0.23,0.0,0.23,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,12.0,3.0,0.07,0.02,0.0,0.0,0.09,77.0,18.0,7.6,8.0,70.0,1
8,2014.0,5.0,58.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,7.0,1.0,0.13,0.03,0.0,0.0,0.16,59.0,5.0,7.0,5.0,35.0,0
3,2009.0,2.0,83.0,0.0,0.09,0.0,0.01,0.1,-1.0,-1.0,-1.0,-1.0,,-1
12,2008.0,12.0,1.0,0.0,0.01,0.0,0.0,0.02,58.0,6.0,6.8,17.0,201.0,0
13,2014.0,9.0,29.0,0.0,0.04,0.02,0.01,0.07,83.0,14.0,7.8,108.0,28.0,3
23,1995.0,2.0,19.0,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,1.0,8.0,0.17,0.06,0.0,0.0,0.24,64.0,7.0,5.4,5.0,26.0,0
1,2009.0,8.0,243.0,0.13,0.04,0.0,0.02,0.19,-1.0,-1.0,-1.0,-1.0,399.0,0
1,2011.0,2.0,14.0,0.0,0.17,0.0,0.04,0.21,-1.0,-1.0,-1.0,-1.0,,-1
10,2008.0,6.0,243.0,0.01,0.01,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,805.0,0
12,2013.0,10.0,8.0,0.23,0.41,0.0,0.05,0.7,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,5.0,9.0,0.0,0.0,0.19,0.01,0.21,-1.0,-1.0,-1.0,-1.0,,-1
14,1999.0,9.0,178.0,0.14,0.1,0.0,0.02,0.25,-1.0,-1.0,-1.0,-1.0,,-1
12,2011.0,9.0,5.0,1.58,1.01,0.0,0.38,2.96,85.0,73.0,5.9,2748.0,806.0,1
3,2008.0,11.0,15.0,0.08,0.0,0.0,0.01,0.08,54.0,5.0,-1.0,-1.0,807.0,0
8,2005.0,8.0,25.0,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,808.0,2
8,2006.0,11.0,5.0,0.19,0.38,0.0,0.22,0.79,57.0,9.0,7.3,10.0,16.0,1
12,2007.0,2.0,151.0,0.02,0.0,0.0,0.0,0.02,79.0,15.0,7.2,63.0,809.0,1
10,2008.0,9.0,19.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
1,2010.0,10.0,112.0,0.03,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,399.0,1
4,2011.0,2.0,9.0,0.0,0.16,0.0,0.04,0.2,-1.0,-1.0,-1.0,-1.0,,-1
9,2004.0,1.0,8.0,0.04,0.01,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
1,2008.0,1.0,91.0,0.33,0.0,0.0,0.03,0.35,-1.0,-1.0,1.1,10.0,810.0,0
1,2007.0,8.0,3.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
11,2006.0,1.0,5.0,0.01,0.0,0.0,0.0,0.02,76.0,18.0,-1.0,-1.0,,-1
4,2016.0,5.0,19.0,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1.0,-1.0,,-1
2,2015.0,9.0,15.0,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,811.0,0
13,2016.0,5.0,16.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
8,2006.0,1.0,5.0,0.47,0.0,0.0,0.04,0.51,64.0,9.0,7.5,4.0,41.0,0
8,2011.0,2.0,14.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,1.0,8.0,0.7,0.54,0.0,0.18,1.42,59.0,7.0,7.8,12.0,59.0,1
4,2007.0,9.0,29.0,0.17,0.01,0.0,0.02,0.2,64.0,23.0,5.9,40.0,81.0,1
3,2008.0,8.0,12.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
8,2010.0,7.0,40.0,0.08,0.02,0.0,0.02,0.11,63.0,16.0,6.7,15.0,392.0,3
11,2005.0,10.0,5.0,0.32,0.19,0.0,0.02,0.53,72.0,42.0,7.0,15.0,172.0,1
3,2010.0,2.0,243.0,0.05,0.0,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
26,1994.0,4.0,252.0,0.0,0.0,0.23,0.0,0.23,-1.0,-1.0,-1.0,-1.0,,-1
11,2003.0,1.0,7.0,0.04,0.01,0.0,0.0,0.05,71.0,14.0,6.6,8.0,53.0,0
3,2008.0,8.0,231.0,0.1,0.0,0.0,0.01,0.11,45.0,16.0,7.3,4.0,617.0,0
10,2003.0,1.0,67.0,0.24,0.19,0.0,0.06,0.49,-1.0,-1.0,6.6,10.0,290.0,0
10,2008.0,8.0,8.0,0.03,0.03,0.0,0.01,0.07,-1.0,-1.0,-1.0,-1.0,,-1
15,2015.0,8.0,78.0,0.03,0.02,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
3,2010.0,9.0,10.0,0.12,0.0,0.19,0.01,0.31,77.0,23.0,8.0,21.0,23.0,3
4,2015.0,5.0,3.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,8.0,328.0,0.03,0.01,0.0,0.0,0.04,58.0,8.0,-1.0,-1.0,6.0,1
3,2009.0,6.0,108.0,0.12,0.0,0.0,0.01,0.13,64.0,12.0,6.3,4.0,313.0,3
4,2013.0,8.0,21.0,0.14,0.29,0.22,0.09,0.74,74.0,30.0,7.2,204.0,74.0,2
16,2005.0,7.0,5.0,0.43,0.11,0.0,0.02,0.56,80.0,18.0,9.1,22.0,64.0,1
1,2009.0,1.0,162.0,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,812.0,0
12,2012.0,10.0,25.0,0.11,0.09,0.0,0.02,0.23,76.0,16.0,8.2,1237.0,813.0,2
10,2002.0,10.0,145.0,0.13,0.1,0.0,0.03,0.27,56.0,16.0,7.0,4.0,248.0,2
4,2013.0,7.0,18.0,0.01,0.42,0.03,0.09,0.54,77.0,22.0,6.3,40.0,634.0,0
1,2009.0,2.0,111.0,0.0,0.34,0.0,0.03,0.37,-1.0,-1.0,-1.0,-1.0,,-1
11,2005.0,1.0,25.0,0.52,0.02,0.0,0.02,0.56,81.0,25.0,8.2,17.0,220.0,0
5,2011.0,8.0,255.0,0.08,0.05,0.0,0.01,0.15,39.0,27.0,4.4,29.0,814.0,2
22,2016.0,9.0,53.0,0.01,0.0,0.0,0.0,0.01,61.0,9.0,7.9,14.0,677.0,1
1,2008.0,7.0,193.0,0.06,0.0,0.0,0.0,0.06,40.0,4.0,-1.0,-1.0,815.0,0
1,2010.0,8.0,29.0,0.1,0.11,0.0,0.02,0.23,77.0,24.0,8.1,31.0,31.0,1
10,2002.0,7.0,45.0,0.95,0.21,0.01,0.18,1.34,73.0,19.0,7.4,23.0,816.0,1
